-ne EMBL_ACC	LEN_(MB)	LEN_(BPs)	NUM_GENES	GC_CONTENT	NCBI_TAXONOMY	SPECIES_NAME	DESCRIPTION
CP003045.1	2.7MB	2715000	0	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus 71193	Staphylococcus aureus subsp. aureus 71193 genome.
CP003046.1	4.4MB	4352825	0	0.65	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Rhodospirillaceae; Rhodospirillum.	Rhodospirillum rubrum F11	Rhodospirillum rubrum F11, complete genome.
CP003047.1	4.6MB	4637962	0	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str.	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str.
CP003048.1	2.0MB	1968651	0	0.32	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales;Francisellaceae; Francisella.	Francisella tularensis subsp. tularensis TIGB03	Francisella tularensis TIGB03, complete genome.
CP003049.1	1.9MB	1892744	0	0.32	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales;Francisellaceae; Francisella.	Francisella tularensis subsp. tularensis TI0902	Francisella tularensis TI0902, complete genome.
CP003051.1	4.0MB	4048921	0	0.66	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae;Thioflavicoccus.	Thioflavicoccus mobilis 8321	Thioflavicoccus mobilis 8321, complete genome.
CP003053.1	5.6MB	5583723	0	0.69	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium.	Mycobacterium chubuense NBB4	Mycobacterium chubuense NBB4, complete genome.
CP003056.1	3.6MB	3552226	0	0.46	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus coagulans 36D1	Bacillus coagulans 36D1, complete genome.
CP003057.1	4.8MB	4831746	0	0.64	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Xanthomonas.	Xanthomonas oryzae pv. oryzicola BLS256	Xanthomonas oryzae pv. oryzicola BLS256, complete genome.
CP003058.1	2.5MB	2487765	0	0.50	Bacteria; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae;Acidaminococcus.	Acidaminococcus intestini RyC-MR95	Acidaminococcus intestini RyC-MR95, complete genome.
CP003059.1	1.6MB	1638559	0	0.38	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Alcaligenaceae; Taylorella.	Taylorella asinigenitalis MCE3	Taylorella asinigenitalis MCE3, complete genome.
CP003060.1	4.1MB	4134229	0	0.42	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales;Alteromonadaceae; Glaciecola.	Glaciecola nitratireducens FR1064	Glaciecola nitratireducens FR1064, complete genome.
CP003061.1	2.3MB	2320595	0	0.52	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium pseudotuberculosis CIP 52.97	Corynebacterium pseudotuberculosis CIP 52.97, complete genome.
CP003062.1	2.3MB	2337606	0	0.52	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium pseudotuberculosis 42/02-A	Corynebacterium pseudotuberculosis 42/02-A, complete genome.
CP003063.1	2.8MB	2815863	0	0.47	Bacteria; Firmicutes; Bacilli; Bacillales;Bacillales Family XII. Incertae Sedis; Exiguobacterium.	Exiguobacterium antarcticum B7	Exiguobacterium antarcticum B7, complete genome.
CP003064.1	1.1MB	1140038	0	0.53	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Treponema pallidum subsp. pallidum str. Mexico A	Treponema pallidum subsp. pallidum str. Mexico A, complete genome.
CP003065.1	4.9MB	4897678	0	0.36	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae;Ruminiclostridium.	[Clostridium] clariflavum DSM 19732	[Clostridium] clariflavum DSM 19732 chromosome, complete genome.
CP003066.1	2.8MB	2783395	0	0.34	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium.	Thermoanaerobacterium thermosaccharolyticum M0795	Thermoanaerobacterium thermosaccharolyticum M0795, complete genome.
CP003068.1	1.8MB	1827308	0	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes Alab49	Streptococcus pyogenes Alab49, complete genome.
CP003069.1	3.0MB	3031375	0	0.48	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio cholerae O1 str. 2010EL-1786	Vibrio cholerae O1 str. 2010EL-1786 chromosome 1, complete sequence.
CP003070.1	1.0MB	1046365	0	0.47	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio cholerae O1 str. 2010EL-1786	Vibrio cholerae O1 str. 2010EL-1786 chromosome 2, complete sequence.
CP003071.1	4.6MB	4575057	0	0.63	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas stutzeri RCH2	Pseudomonas stutzeri RCH2, complete genome.
CP003075.1	3.9MB	3944837	0	0.61	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;Hyphomicrobiaceae; Pelagibacterium.	Pelagibacterium halotolerans B2	Pelagibacterium halotolerans B2, complete genome.
CP003077.1	2.3MB	2310415	0	0.52	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium pseudotuberculosis 316	Corynebacterium pseudotuberculosis 316, complete genome.
CP003078.1	6.5MB	6464916	0	0.65	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium.	Mycobacterium sp. JS623	Mycobacterium sp. JS623, complete genome.
CP003082.1	2.3MB	2279118	0	0.52	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium pseudotuberculosis 1/06-A	Corynebacterium pseudotuberculosis 1/06-A, complete genome.
CP003084.1	2.5MB	2488626	0	0.60	Bacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae;Cutibacterium.	Cutibacterium acnes subsp. defendens ATCC 11828	Propionibacterium acnes ATCC 11828, complete genome.
CP003085.1	4.6MB	4586378	0	0.54	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Erwiniaceae; Pantoea.	Pantoea ananatis PA13	Pantoea ananatis PA13, complete genome.
CP003087.1	3.1MB	3131280	0	0.64	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. YI23	Burkholderia sp. YI23 chromosome 1, complete sequence.
CP003088.1	1.8MB	1773019	0	0.64	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. YI23	Burkholderia sp. YI23 chromosome 2, complete sequence.
CP003089.1	1.6MB	1569570	0	0.64	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. YI23	Burkholderia sp. YI23 chromosome 3, complete sequence.
CP003093.2	3.5MB	3452554	0	0.68	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Pseudoxanthomonas.	Pseudoxanthomonas spadix BD-a59	Pseudoxanthomonas spadix BD-a59, complete genome.
CP003094.1	3.0MB	2960339	0	0.47	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus rhamnosus ATCC 8530	Lactobacillus rhamnosus ATCC 8530, complete genome.
CP003096.1	2.0MB	1967774	0	0.47	Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae;Thermovirga.	Thermovirga lienii DSM 17291	Thermovirga lienii DSM 17291, complete genome.
CP003099.1	2.1MB	2136808	0	0.44	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;Pasteurellaceae; Aggregatibacter.	Aggregatibacter actinomycetemcomitans ANH9381	Aggregatibacter actinomycetemcomitans ANH9381, complete genome.
CP003101.1	1.9MB	1900740	0	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae;Leuconostoc.	Leuconostoc mesenteroides subsp. mesenteroides J18	Leuconostoc mesenteroides subsp. mesenteroides J18, complete genome.
CP003107.1	6.1MB	6083395	0	0.47	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus.	Paenibacillus terrae HPL-003	Paenibacillus terrae HPL-003, complete genome.
CP003108.1	5.9MB	5863081	0	0.43	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae;Desulfosporosinus.	Desulfosporosinus orientis DSM 765	Desulfosporosinus orientis DSM 765, complete genome.
CP003109.1	5.3MB	5263980	0	0.50	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Enterobacteriaceae; Escherichia.	Escherichia coli O55:H7 str. RM12579	Escherichia coli O55:H7 str. RM12579, complete genome.
CP003115.1	1.1MB	1139971	0	0.53	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Treponema pallidum subsp. pallidum DAL-1	Treponema pallidum subsp. pallidum DAL-1, complete genome.
CP003116.1	1.8MB	1750832	0	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes MGAS15252	Streptococcus pyogenes MGAS15252, complete genome.
CP003119.1	5.7MB	5669805	0	0.67	Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia.	Gordonia polyisoprenivorans VH2	Gordonia polyisoprenivorans VH2, complete genome.
CP003121.1	1.8MB	1781029	0	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes MGAS1882	Streptococcus pyogenes MGAS1882, complete genome.
CP003122.1	2.2MB	2171609	0	0.42	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus parasanguinis FW213	Streptococcus parasanguinis FW213, complete genome.
CP003123.1	1.6MB	1596490	0	0.42	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae;Bartonella.	Bartonella australis Aust/NH1	Bartonella australis Aust/NH1, complete genome.
CP003124.1	1.8MB	1802699	0	0.39	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae;Bartonella.	Bartonella vinsonii subsp. berkhoffii str. Winnie	Bartonella vinsonii subsp. berkhoffii str. Winnie, complete genome.
CP003125.1	3.6MB	3596620	0	0.52	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus;Geobacillus thermoleovorans group.	Geobacillus thermoleovorans CCB_US3_UF5	Geobacillus thermoleovorans CCB_US3_UF5, complete genome.
CP003126.1	2.2MB	2243772	0	0.69	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus.	Thermus sp. CCB_US3_UF1	Thermus sp. CCB_US3_UF1, complete genome.
CP003128.1	2.1MB	2108637	0	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella suis VBI22	Brucella suis VBI22 chromosome I, complete sequence.
CP003129.1	1.2MB	1207451	0	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella suis VBI22	Brucella suis VBI22 chromosome II, complete sequence.
CP003130.1	6.2MB	6237577	0	0.58	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Granulicella.	Granulicella mallensis MP5ACTX8	Granulicella mallensis MP5ACTX8, complete genome.
CP003131.1	0.9MB	921093	0	0.28	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma hyopneumoniae 168-L	Mycoplasma hyopneumoniae 168-L, complete genome.
CP003132.1	2.5MB	2452616	0	0.36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Lactococcus.	Lactococcus lactis subsp. cremoris A76	Lactococcus lactis subsp. cremoris A76, complete genome.
CP003137.1	1.8MB	1829111	0	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Pediococcus.	Pediococcus claussenii ATCC BAA-344	Pediococcus claussenii ATCC BAA-344, complete genome.
CP003147.1	5.5MB	5475670	0	0.52	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales;Rhodobacteraceae; Pseudovibrio.	Pseudovibrio sp. FO-BEG1	Pseudovibrio sp. FO-BEG1, complete genome.
CP003149.1	6.4MB	6402658	0	0.66	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas aeruginosa DK2	Pseudomonas aeruginosa DK2, complete genome.
CP003150.1	6.8MB	6845832	0	0.61	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas fluorescens F113	Pseudomonas fluorescens F113, complete genome.
CP003151.1	0.9MB	905534	0	0.28	Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borreliella.	Borrelia garinii BgVir	Borrelia garinii BgVir chromosome linear, complete sequence.
CP003152.1	2.3MB	2337938	0	0.52	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium pseudotuberculosis 3/99-5	Corynebacterium pseudotuberculosis 3/99-5, complete genome.
CP003153.1	3.8MB	3806980	0	0.65	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales;Rhodocyclaceae; Azospira.	Dechlorosoma suillum PS	Dechlorosoma suillum PS, complete genome.
CP003154.1	5.0MB	5017071	0	0.63	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae;Thiocystis.	Thiocystis violascens DSM 198	Thiocystis violascens DSM 198, complete genome.
CP003155.1	3.6MB	3590853	0	0.46	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Sphaerochaeta.	Sphaerochaeta pleomorpha str. Grapes	Sphaerochaeta pleomorpha str. Grapes, complete genome.
CP003156.1	4.0MB	4000057	0	0.40	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae;Owenweeksia.	Owenweeksia hongkongensis DSM 17368	Owenweeksia hongkongensis DSM 17368, complete genome.
CP003157.1	2.3MB	2250427	0	0.36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Lactococcus.	Lactococcus lactis subsp. cremoris UC509.9	Lactococcus lactis subsp. cremoris UC509.9, complete genome.
CP003166.1	2.8MB	2788636	0	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus M013	Staphylococcus aureus subsp. aureus M013, complete genome.
CP003169.1	6.4MB	6415739	0	0.65	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium.	Mycobacterium rhodesiae NBB3	Mycobacterium rhodesiae NBB3, complete genome.
CP003170.1	9.2MB	9239851	0	0.71	Bacteria; Actinobacteria; Micromonosporales; Micromonosporaceae;Actinoplanes.	Actinoplanes sp. SE50/110	Actinoplanes sp. SE50/110, complete genome.
CP003171.1	3.5MB	3514537	0	0.61	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;Aeromonadaceae; Oceanimonas.	Oceanimonas sp. GK1	Oceanimonas sp. GK1, complete genome.
CP003174.1	2.1MB	2107023	0	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella canis HSK A52141	Brucella canis HSK A52141 chromosome 1, complete sequence.
CP003175.1	1.2MB	1170489	0	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella canis HSK A52141	Brucella canis HSK A52141 chromosome 2, complete sequence.
CP003176.1	2.1MB	2123773	0	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella abortus A13334	Brucella abortus A13334 chromosome 1, complete sequence.
CP003177.1	1.2MB	1162259	0	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella abortus A13334	Brucella abortus A13334 chromosome 2, complete sequence.
CP003178.1	9.0MB	9033684	0	0.45	Bacteria; Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae;Niastella.	Niastella koreensis GR20-10	Niastella koreensis GR20-10, complete genome.
CP003179.1	3.5MB	3472898	0	0.57	Bacteria; Firmicutes; Clostridia; Clostridiales;Clostridiales Family XVII. Incertae Sedis; Sulfobacillus.	Sulfobacillus acidophilus DSM 10332	Sulfobacillus acidophilus DSM 10332, complete genome.
CP003181.1	2.7MB	2721810	0	0.59	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Granulibacter.	Granulibacter bethesdensis	Granulibacter bethesdensis strain NIH3.1 chromosome, complete genome.
CP003182.1	2.7MB	2729888	0	0.59	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Granulibacter.	Granulibacter bethesdensis CGDNIH4	Granulibacter bethesdensis CGDNIH4, complete genome.
CP003183.1	2.7MB	2742670	0	0.59	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Granulibacter.	Granulibacter bethesdensis	Granulibacter bethesdensis strain NIH2.1 chromosome, complete genome.
CP003184.1	2.7MB	2726530	0	0.35	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium.	Thermoanaerobacterium saccharolyticum JW/SL-YS485	Thermoanaerobacterium saccharolyticum JW/SL-YS485, complete genome.
CP003187.1	5.2MB	5222906	0	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus cereus F837/76	Bacillus cereus F837/76, complete genome.
CP003190.1	6.9MB	6867980	0	0.63	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas protegens CHA0	Pseudomonas protegens CHA0, complete genome.
CP003191.1	3.4MB	3405521	0	0.47	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae;Tannerella.	Tannerella forsythia 92A2	Tannerella forsythia 92A2, complete genome.
CP003192.1	3.4MB	3359001	0	0.38	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales;Legionellaceae; Legionella.	Legionella pneumophila subsp. pneumophila ATCC 43290	Legionella pneumophila subsp. pneumophila ATCC 43290, complete genome.
CP003194.1	2.8MB	2846546	0	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus 11819-97	Staphylococcus aureus subsp. aureus 11819-97, complete genome.
CP003195.1	2.5MB	2489623	0	0.60	Bacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae;Cutibacterium.	Cutibacterium acnes TypeIA2 P.acn33	Propionibacterium acnes TypeIA2 P.acn33, complete genome.
CP003196.1	2.5MB	2522885	0	0.60	Bacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae;Cutibacterium.	Cutibacterium acnes TypeIA2 P.acn17	Propionibacterium acnes TypeIA2 P.acn17, complete genome.
CP003197.1	2.5MB	2498766	0	0.60	Bacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae;Cutibacterium.	Cutibacterium acnes TypeIA2 P.acn31	Propionibacterium acnes TypeIA2 P.acn31, complete genome.
CP003198.1	2.2MB	2160700	0	0.48	Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae;Acetomicrobium.	Acetomicrobium mobile DSM 13181	Acetomicrobium mobile DSM 13181 chromosome, complete genome.
CP003199.1	0.9MB	919992	0	0.35	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma haemocanis str. Illinois	Mycoplasma haemocanis str. Illinois, complete genome.
CP003200.1	5.3MB	5333942	0	0.57	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Enterobacteriaceae; Klebsiella.	Klebsiella pneumoniae subsp. pneumoniae HS11286	Klebsiella pneumoniae subsp. pneumoniae HS11286, complete genome.
CP003203.1	4.7MB	4736495	0	0.62	Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Arthrobacter.	Arthrobacter sp. Rue61a	Arthrobacter sp. Rue61a, complete genome.
CP003206.1	2.5MB	2535346	0	0.54	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae 31A	Corynebacterium diphtheriae 31A, complete genome.
CP003207.1	2.4MB	2426551	0	0.53	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae 241	Corynebacterium diphtheriae 241, complete genome.
CP003208.1	2.4MB	2449071	0	0.54	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae INCA 402	Corynebacterium diphtheriae INCA 402, complete genome.
CP003209.1	2.5MB	2485519	0	0.54	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae BH8	Corynebacterium diphtheriae BH8, complete genome.
CP003210.1	2.5MB	2499189	0	0.54	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae C7 (beta)	Corynebacterium diphtheriae C7 (beta), complete genome.
CP003211.1	2.4MB	2433326	0	0.54	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae CDCE 8392	Corynebacterium diphtheriae CDCE 8392, complete genome.
CP003212.1	2.4MB	2427149	0	0.53	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae HC01	Corynebacterium diphtheriae HC01, complete genome.
CP003213.1	2.5MB	2468612	0	0.54	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae HC02	Corynebacterium diphtheriae HC02, complete genome.
CP003214.1	2.5MB	2478364	0	0.54	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae HC03	Corynebacterium diphtheriae HC03, complete genome.
CP003215.1	2.5MB	2484332	0	0.53	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae HC04	Corynebacterium diphtheriae HC04, complete genome.
CP003216.1	2.5MB	2530683	0	0.54	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae PW8	Corynebacterium diphtheriae PW8, complete genome.
CP003217.1	2.4MB	2395441	0	0.53	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium diphtheriae VA01	Corynebacterium diphtheriae VA01, complete genome.
CP003218.1	6.0MB	5974109	0	0.56	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Enterobacteriaceae; Klebsiella.	Klebsiella michiganensis KCTC 1686	Klebsiella michiganensis strain KCTC 1686, complete genome.
CP003219.1	6.3MB	6282967	0	0.73	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae;Streptomyces.	Streptomyces cattleya NRRL 8057 = DSM 46488	Streptomyces cattleya DSM 46488, complete genome.
CP003220.1	3.9MB	3858580	0	0.65	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales;Desulfovibrionaceae; Desulfovibrio.	Desulfovibrio desulfuricans ND132	Desulfovibrio desulfuricans ND132, complete genome.
CP003221.1	4.2MB	4200534	0	0.61	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales;Desulfovibrionaceae; Desulfovibrio.	Desulfovibrio africanus str. Walvis Bay	Desulfovibrio africanus str. Walvis Bay, complete genome.
CP003222.2	3.2MB	3162432	0	0.31	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Flavobacteriaceae; Flavobacterium.	Flavobacterium columnare ATCC 49512	Flavobacterium columnare ATCC 49512, complete genome.
CP003230.1	2.4MB	2363215	0	0.42	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales;Piscirickettsiaceae; Cycloclasticus.	Cycloclasticus sp. P1	Cycloclasticus sp. P1, complete genome.
CP003231.1	0.8MB	837480	0	0.26	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma hyorhinis GDL-1	Mycoplasma hyorhinis GDL-1, complete genome.
CP003233.1	4.4MB	4380119	0	0.66	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium tuberculosis complex.	Mycobacterium tuberculosis RGTB327	Mycobacterium tuberculosis RGTB327, complete genome.
CP003234.1	4.4MB	4406587	0	0.66	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium tuberculosis complex.	Mycobacterium tuberculosis RGTB423	Mycobacterium tuberculosis RGTB423, complete genome.
CP003235.1	8.7MB	8739048	0	0.58	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus.	Paenibacillus mucilaginosus 3016	Paenibacillus mucilaginosus 3016, complete genome.
CP003236.1	3.9MB	3919492	0	0.68	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Rhodospirillaceae; Tistrella.	Tistrella mobilis KA081020-065	Tistrella mobilis KA081020-065, complete genome.
CP003241.1	3.5MB	3478307	0	0.45	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio sp. EJY3	Vibrio sp. EJY3 chromosome 1, complete sequence.
CP003242.1	2.0MB	1974339	0	0.45	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio sp. EJY3	Vibrio sp. EJY3 chromosome 2, complete sequence.
CP003244.1	4.9MB	4861101	0	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Yersiniaceae; Rahnella.	Rahnella aquatilis CIP 78.65 = ATCC 33071	Rahnella aquatilis CIP 78.65 = ATCC 33071, complete genome.
CP003248.2	4.4MB	4411709	0	0.66	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium tuberculosis complex.	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv, complete genome.
CP003249.1	2.1MB	2072393	0	0.69	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus.	Thermus oshimai JL-2	Thermus oshimai JL-2, complete genome.
CP003252.1	1.9MB	1902595	0	0.69	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus.	Thermus thermophilus JL-18	Thermus thermophilus JL-18, complete genome.
CP003255.1	4.2MB	4206343	0	0.61	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae;Thermobacillus.	Thermobacillus composti KWC4	Thermobacillus composti KWC4, complete genome.
CP003257.1	2.2MB	2231407	0	0.29	Bacteria; Thermotogae; Petrotogales; Petrotogaceae; Marinitoga.	Marinitoga piezophila KA3	Marinitoga piezophila KA3, complete genome.
CP003259.1	4.6MB	4613747	0	0.37	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Clostridium.	Clostridium sp. BNL1100	Clostridium sp. BNL1100, complete genome.
